Agency name;Country;Link;Players;Players 1st tier;Rumors;Total market value;ø-Market value;Street;ZIP, location;Phone;Fax;Email;Website
MRP.POSITIONUMBER;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=4408;50;18;4;€206.93m;€4.14m;-;Vila Nova de Gaia;-;-;-;www.positionumber.com
Nordic Sky;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=176;246;107;8;€205.63m;€836k;stationsgatan 24;75320, Uppsala;46705399766;;anderscarlsson@nsky.se;http://www.nsky.se
Niagara Sports Company;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7515;72;34;13;€195.58m;€2.72m;Calle de José Ortega y Gasset 21, Planta 3 - Puerta derecha;28006, Madrid;+34 628 248 738;+385 99 499 9999;jlillo@niagarasportscompany.com;https://www.niagarasportsteam.com/
World Soccer Agency;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=529;45;21;9;€195.43m;€4.34m;-;-;-;-;-;-
Forza Sports Group;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=2553;88;40;7;€190.00m;€2.16m;Skoon 80G;1511HV, Oostzaan;31614994044;-;tvrouwe@forzasportsgroup.com;www.forzasportsgroup.com
Stirr Associates;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=4807;66;45;2;€183.69m;€2.78m;-;-;-;-;-;-
EMG Mundial Sports Media GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2793;79;36;20;€183.60m;€2.32m;-;-;-;-;-;-
Muy Manero;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=3861;64;27;3;€182.53m;€2.85m;Keizersgracht 311;1016 EE, Amsterdam;+31 20 7470130;;info@muymanero.com;www.muymanero.com
LEADERBROCK sports;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=3281;61;25;8;€182.08m;€2.98m;-;-;-;-;-;-
Aneke/Players Management Group;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=2012;91;66;4;€177.60m;€1.95m;-;1087, Oslo;4792036823;;krister@players-management-group.no;
Classico;France;https://www.transfermarkt.com/berater/beraterfirma?id=3278;38;29;-;€168.90m;€4.44m;-;Paris;-;-;contact@classicosports.com;http://www.classicosports.fr
GG11;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=2258;56;23;9;€166.75m;€2.98m;Via Citta della Pieve, 76;00191, Roma;+39 06 97613555;;info@gg11.it;www.gg11.it
Carlos Leite Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=2905;46;20;3;€156.58m;€3.40m;-;Rio de Janeiro;-;;contato@carlosleite.com.br;https://carlosleite.com/
VPA SPORTS INTERNATIONAL LTD.;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=7867;118;66;2;€152.50m;€1.29m;-;-;-;-;office@vpasports.international;www.vpasports.international
YMU Management Ltd.;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=641;78;34;2;€147.88m;€1.90m;180 Great Portland St;W1W 5QZ, London;+44 (0) 208 742 4950;-;-;https://www.ymugroup.com
InterStarDeporte;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=2146;100;18;7;€146.70m;€1.47m;San Vicente Mártir 84 5º A;46002, Valencia;0034 96 3944054;;va.fores@interstardeporte.com;http://www.interstardeporte.com
Score Futbol;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=1705;154;89;3;€146.23m;€950k;-;Buenos Aires;-;-;info@scorefutbol.com.ar;-
TTMA;France;https://www.transfermarkt.com/berater/beraterfirma?id=7736;75;23;11;€144.38m;€1.93m;-;-;-;-;-;-
Proeleven S.A.;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=847;92;43;1;€143.70m;€1.56m;-;-;3,5194E+11;-;info@proeleven.pt;http://www.proeleven.pt
BS Group - BS Law;France;https://www.transfermarkt.com/berater/beraterfirma?id=6729;37;12;6;€127.33m;€3.44m;-;-;-;-;office@bsgroupsports.com;-
FOOTBALL DIVISION WORLDWIDE;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=3239;23;8;1;€122.88m;€5.34m;-;Dubai;-;;info@futboldivision.com;http://www.futboldivision.com
AC Talent;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=5041;38;24;3;€121.40m;€3.19m;Paseo Independencia, Nº32, 4ºDCHA;50004, Zaragoza;-;-;info@actalent.com;www.actalent.com
Interplayers;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=5789;28;24;6;€116.55m;€4.16m;-;-;-;-;-;-
Jim Solbakken / Player Solution;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=1292;106;75;3;€116.50m;€1.10m;Trim Towers, Larsamyrå 18;4313, Sandnes;-;;jorgen@solution.as;
Dirk Hebel;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=8547;48;12;26;€116.29m;€2.42m;-;-;-;-;info@dh-sportsconsulting.com;https://dh-sportsconsulting.com
FairSport Agency;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=2234;110;45;3;€115.36m;€1.05m;International;Slovakia;48504262689;;info@fairsport.net;http://www.fairsport.net
Vibra Futbol;United States;https://www.transfermarkt.com/berater/beraterfirma?id=1553;185;126;4;€113.48m;€613k;-;-;-;;andres@vibrafutbol.com;www.vibrafutbol.com
Epic Sports;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=10127;13;10;5;€112.63m;€8.66m;Rua do Carmo, nº7, Bl. C , 5º andar C;9000-017, Funchal;-;;sales@epicsports.football;https://epicsports.football/
DOUBLED;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=2784;29;5;6;€110.58m;€3.81m;-;-;-;-;stuart@doubled.com;-
PROMOFUT;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=5614;134;41;2;€109.10m;€814k;-;-;-;-;-;-
Talents Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=9464;62;26;1;€107.10m;€1.73m;-;São Paulo;-;;-;https://talentssports.com.br/
Bahía Internacional;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=1033;126;16;-;€104.53m;€830k;-;-;-;-;-;-
EM Sports Consulting;Hungary;https://www.transfermarkt.com/berater/beraterfirma?id=4658;28;19;-;€104.51m;€3.73m;-;-;-;-;-;-
International Sport Management, s.r.o.;Czech Republic;https://www.transfermarkt.com/berater/beraterfirma?id=71;65;32;5;€104.20m;€1.60m;Na Orechovce 579/6;162 00, Praha 6;+420 271 732 259;;info@ismsoccer.cz;
Energy Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=9984;21;7;-;€103.83m;€4.94m;Fidencio Ramos 160, conj 709;04551-010, Sao Paulo;-;;contato@energy13.com.br;www.energy13.com.br
FutureBall;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=7562;52;25;3;€103.20m;€1.98m;-;İstanbul;-;;info@futureball.com.tr;www.futureball.com.tr
ND SPORTS MANAGEMENT;France;https://www.transfermarkt.com/berater/beraterfirma?id=5528;15;6;6;€103.05m;€6.87m;-;-;-;-;-;-
FA Sport;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5201;74;22;1;€102.78m;€1.39m;-;-;-;-;-;-
World in Motion;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=1061;131;38;6;€101.91m;€778k;-;-;-;-;-;-
International Football Management GmbH;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=24;47;24;-;€100.98m;€2.15m;-;-;-;-;-;-
VV Consulting;Monaco;https://www.transfermarkt.com/berater/beraterfirma?id=8509;40;23;3;€96.45m;€2.41m;25 Boulevard Albert 1er;98000;-;-;contact@vvconsulting.mc;www.vvconsulting.mc/
Nomi Sports SA;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=4858;15;5;2;€96.38m;€6.43m;-;-;-;-;-;-
PitZGroup;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=5303;88;51;-;€93.95m;€1.07m;-;-;-;-;-;-
INTERNATIONAL SPORTS OFFICE;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=3417;21;16;2;€91.33m;€4.35m;Zmaj Jovina 15;11100, Belgrade;-;-;office@isoffice.rs;http://www.isoffice.rs
GBG Global Business Group;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=3384;76;41;1;€86.64m;€1.14m;Tiburcio Gómez 1329;11300, Montevideo;59899452276;-;info@gbg.com.uy;http://www.gbg.com.uy
Marjan Sisic;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=8945;23;12;1;€85.99m;€3.74m;-;-;-;-;-;-
SPORT INVEST International, a. s.;Czech Republic;https://www.transfermarkt.com/berater/beraterfirma?id=11;93;46;1;€84.80m;€912k;Hvězdova 1716/2b;140 00, Praha 4;-;-;gunter.bittengel@sport-invest.cz;http://www.sport-invest.cz
Goal Management;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4837;35;12;4;€83.85m;€2.40m;Felipe IV;28014, Madrid;-;-;contact@goalmanagement.global;http://www.goalmanagement.global
UDN SPORTS;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=7265;133;59;1;€83.33m;€627k;#808 Holland Hills Mori Tower RoP,5-11-1,Toranomon,Minato-ku;105-0001, Tokyo;-12489;-;football@udnsports.com;https://udnsports.com
MM-Management;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=10241;77;13;1;€82.38m;€1.07m;-;-;-;-;-;-
ADM Esporte;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7439;26;11;3;€81.90m;€3.15m;-;-;-;-;-;-
Axia Sports Management;Canada;https://www.transfermarkt.com/berater/beraterfirma?id=3618;34;23;4;€80.23m;€2.36m;-;-;-;-;info@axiasports.com;www.axiasports.com
SBE Management AG;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=2032;83;33;8;€78.08m;€941k;Neuhofstrasse 14;8834, Schindellegi;-;;info@sbe-management.com;http://www.sbe-management.com
Keypass AS;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=3989;52;38;1;€77.70m;€1.49m;Neptunveien 20d;0493, Oslo;+47 91752452;;mike@kjolo.com;www.keypass.no
Eleven Talent Group;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=6003;25;13;-;€75.25m;€3.01m;MANILA 56 BAJOS;08034, BARCELONA;0034 610260298;;JSALLES@ELEVENTG.COM;WWW.ELEVENTG.COM
Excellence Sport;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=6018;15;1;6;€74.73m;€4.98m;Via Palestro 6;20121, Milano;3,90297E+11;;info@excellencesport.it;www.excellencesport.it
UJ Football Talent;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=5872;33;4;-;€74.18m;€2.25m;-;-;-;-;-;-
BMG-SPORT;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=883;77;40;4;€74.03m;€961k;-;-;-;-;-;-
Robert Schneider;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=117;65;8;6;€73.85m;€1.14m;co Avantgarde Sponsoring GmbH Atelierstr. 10;81671, München;+49 (0) 89 883990;;football@avantgarde.de;http://www.avantgarde.football
La Squadra Sports;Paraguay;https://www.transfermarkt.com/berater/beraterfirma?id=5525;43;40;-;€73.68m;€1.71m;-;-;-;-;-;-
CN Sports GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4605;21;12;4;€72.48m;€3.45m;Tölzer Str.1;82031, Grünwald;-;;dingler@cn-sports.eu;www.cn-sports.eu
FSB – Spielerberatung GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=3625;63;28;-;€72.40m;€1.15m;Kalenfelsstraße 5a;54290, Trier;0651-93741311;-;zentrale@fsb-spielerberatung.de;http://www.fsb-spielerberatung.de
Gea World S.p.A.;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=1053;134;6;1;€71.90m;€537k;-;-;-;-;-;-
FAIR SPORT MNG;France;https://www.transfermarkt.com/berater/beraterfirma?id=4961;39;10;6;€71.50m;€1.83m;-;-;-;;contact@fairsportmng.com;
PRO Profil GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=12;220;29;20;€71.13m;€323k;Hörder Burgstr. 18;44263, Dortmund;0231 9410920;;info@proprofil.de;http://www.proprofil.de
AIS Football;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=9355;13;8;6;€70.70m;€5.44m;Alameda Rio Negro 503, Sala 2020;06454-000, Alphaville SP;-;-;info@aisfootballagency.com;-
Elevate;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=12529;2;2;-;€70.00m;€35.00m;Chaussée de la Hulpe, 166;1170, Brussels;+32 476 42 98 36;-;info@we-elevate.net;-
One Team Football;Monaco;https://www.transfermarkt.com/berater/beraterfirma?id=7095;45;18;-;€66.73m;€1.48m;-;-;-;-;-;-
Best of You;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=4312;49;11;5;€65.40m;€1.33m;-;-;-;-;-;-
WAKAI SPORTS;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=12120;19;5;-;€64.58m;€3.40m;-;-;-;-;-;-
Elite Consulting;Denmark;https://www.transfermarkt.com/berater/beraterfirma?id=2325;78;44;1;€63.49m;€814k;Berlingsbakke 17;2920, Charlottenlund;+45 31416115;-;info@eliteconsulting.dk;http://www.eliteconsulting.dk
KIN PARTNERS;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4016;18;3;1;€63.35m;€3.52m;2 – 16 KING'S COURT, GOODGE STREET;W1T 2QA, London;-;-;info@kinpartners.com;www.kinpartners.com
Be The Future Management;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=8924;25;11;2;€62.10m;€2.48m;Avenue Josse Goffin 248/12;1082, Brussels;-;-;-;-
VIDA 11 Consulting GmbH & Co. KG;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5663;43;14;6;€61.43m;€1.43m;Hindenburgstraße 45;71638, Ludwigsburg;-;;info@vida11.com;www.vida11.com
New Era Global Sports Management Limited;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4603;97;13;6;€61.18m;€631k;-;-;-;-;-;-
Beckster International SARL;Monaco;https://www.transfermarkt.com/berater/beraterfirma?id=2021;58;18;3;€59.99m;€1.03m;-;-;-;-;-;-
Team of Future;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=2824;50;23;2;€59.80m;€1.20m;-;-;-;-;-;-
Elite Sports Management MX;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=5480;74;33;-;€58.13m;€785k;-;-;-;-;-;-
LeaderS;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6931;21;2;3;€57.90m;€2.76m;-;-;-;-;-;-
Libera Sports;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=4064;53;32;4;€57.80m;€1.09m;avenue louise 11;1060, Brussels;-;;info@liberasports.com;-
Niagara Sur;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=8392;37;5;3;€57.80m;€1.56m;-;-;-;-;-;-
JEB ENTERTAINMENT Co.,Ltd.;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=278;140;53;-;€57.66m;€412k;6F, 3-22-4 Ikejiri, Setagaya-ku;154-0001, Tokyo;-9297;;agent@j-e.jp;http://www.jebentertainment.jp/en/index.html
SPOCS Global Sports;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=728;218;79;5;€57.20m;€262k;-;-;-;-;-;-
More than Sport GmbH;Austria;https://www.transfermarkt.com/berater/beraterfirma?id=2675;112;33;12;€56.63m;€506k;Samhofstraße 43;A-5424, Bad Vigaun;+ 43 6245 73315;;office@more-than-sport.com;http://www.more-than-sport.com
Prosport International;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=587;35;24;2;€56.20m;€1.61m;40 Agiou Konstantinou Str.;15124, Athens;-;;Info@prosport.gr;www.prosport.gr
Signature - ISCM AG;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=2377;48;13;-;€56.08m;€1.17m;Stutzstrasse 41;CH-6005, St Niklausen;+41 (0) 41 5353030;;info@signature-iscm.com;http://www.signature-iscm.com
Eagle Eye Sport Managament;Paraguay;https://www.transfermarkt.com/berater/beraterfirma?id=7762;91;72;-;€55.93m;€615k;Sucre 1972;1409, Asuncion;5,95982E+11;;eagleeyefutbol.py@gmail.com;www.eagleeye.com.py
OmniSports;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4434;70;11;2;€55.90m;€799k;3 Archway;M15 5QJ, Manchester;;;info@omni-sports.co.uk;https://omni-sports.co.uk
Key United;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=2654;31;10;3;€55.43m;€1.79m;Voorstraat, 483;3311CV, Dordrecht;+31 (0)78 842 40 28;;info@keyunited.nl;www.keyunited.nl
Gonçalo Palhinha;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=11452;1;1;-;€55.00m;€55.00m;-;-;-;-;-;-
Claes Agency;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=5358;10;4;1;€54.80m;€5.48m;-;-;-;-;-;-
11MANGMT;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=10669;47;26;1;€53.36m;€1.14m;Calle Doctor lines 64;29639 , Malaga;46735508428;;Info@11man.se;
FMA Sports;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=9470;6;4;1;€52.40m;€8.73m;-;-;-;-;-;-
JV SPORTS;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=3946;90;14;2;€52.38m;€582k;-;-;-;-;-;-
ARETÉ;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5078;24;4;3;€51.93m;€2.16m;Studio 1, 118 Putney Bridge Road;SW15 2NQ, London;+44 (0)20 3976 4880;;info@arete.co.uk;www.arete.co.uk
Universal Sports Japan Ltd,;Japan;https://www.transfermarkt.com/berater/beraterfirma?id=5484;61;28;2;€51.73m;€848k;-;-;-;-;-;-
Marcio Bittencourt Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=3715;117;37;3;€50.93m;€435k;Av Júlio de Sá Bierrenbach 65, tower 4, unit 401;22775-040, Rio de Janeiro;-;-;-;-
firsteleven ISM;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=1181;53;20;3;€50.85m;€959k;-;-;-;-;-;-
AKA Global GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1956;77;13;3;€49.80m;€647k;-;-;-;-;-;-
SportPlus Football Management;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=1404;52;20;-;€49.18m;€946k;Wingepark 15;3110, Rotselaar;-;;info@sportplus.be;http://www.sportplus.be
SMI Sports Management International;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4173;105;9;-;€48.90m;€466k;Cleveland Business Centre, Oak St;TS1 2RQ, Middlesbrough;7841997204;;lee@smiworld.co.uk;www.smiworld.co.uk
Gelu Rodriguez Asesoría Deportiva;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7631;55;11;-;€48.69m;€885k;-;-;-;-;-;-
Global Soccer Management;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=786;133;43;-;€48.15m;€362k;-;-;-;-;-;-
KL Sportsbase;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1875;66;5;7;€47.34m;€717k;Niederrheinstraße;40474, Düsseldorf;+49 211 - 43636- 715;;office@klsportsbase.de;
InterLex Sport;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=5491;21;6;-;€47.25m;€2.25m;-;-;-;-;-;-
Kemari;France;https://www.transfermarkt.com/berater/beraterfirma?id=2560;57;17;1;€47.15m;€827k;14 rue Charles V;75004, Paris;-;-;agence@kemari.fr;www.kemari.fr
BC Group;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=3113;136;3;2;€46.54m;€342k;-;-;-;-;-;-
Panthera Sports;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4611;18;5;1;€46.15m;€2.56m;53 Davies Street;W1K 5JH, London;-;;info@pantherasports.com;www.pantherasports.com
BHM Sports Agency;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=6163;42;34;1;€45.80m;€1.09m;-;-;-;-;-;-
High Definition;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=12147;18;4;3;€45.70m;€2.54m;-;-;33660893314;;contact@hdplayersagency.com;
StormSportsx;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=6305;33;17;2;€45.40m;€1.38m;-;-;-;-;-;-
Joes Blakborn;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=11487;23;6;1;€45.15m;€1.96m;-;-;-;-;-;-
UNIDOS;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=3694;32;18;5;€45.03m;€1.41m;Zwycięzców 63;03-937 , Warszawa;;;info@unidos.com.pl;www.unidos.com.pl
CANTERA LATINA / MATIAS BUNGE;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=5527;42;19;-;€44.45m;€1.06m;Eugenio Sue;11550, MEXICO;34620524218;;-;
Concept Sport Agency;France;https://www.transfermarkt.com/berater/beraterfirma?id=8286;12;6;-;€44.30m;€3.69m;-;Paris;;;hazan.jeremy@gmail.com;www.conceptsport-agency.com
Players United Management;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=2938;37;14;4;€43.78m;€1.18m;Schinkeldijkje 18K;1432 CE, Aalsmeer;+31 20 545 1949;-;info@playersunited.com;www.playersunited.com
Oscar Bentancourt Representaciones Deportivas PANTISOL S.A;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=3921;52;24;3;€43.14m;€830k;-;-;-;-;-;-
M-Soccermanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4219;38;10;3;€43.05m;€1.13m;-;-;0049-151-11111348;-;info@msoccermanagement.de;-
R.G Top Sport Services;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=231;126;76;1;€41.36m;€328k;-;-;-;-;-;-
INTERFOOTBALL MANAGEMENT S.A;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=2741;47;4;1;€40.20m;€855k;-;-;-;-;-;-
Karamba Guirassy Sport Management International;Guinea;https://www.transfermarkt.com/berater/beraterfirma?id=12179;1;1;4;€40.00m;€40.00m;-;-;-;-;-;-
TPSportManagement;Guernsey;https://www.transfermarkt.com/berater/beraterfirma?id=3299;36;23;-;€39.93m;€1.11m;-;-;-;-;-;-
JC Playermanagement-Sports;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=4281;20;2;-;€39.83m;€1.99m;-;-;-;-;-;-
